#,Date,Match,Ligue,Pays
,, ENGLAND (30 matchs),,
1,02-07,Fulham vs Everton,Premier League,England
2,02-07,Stockport County vs Leyton Orient,League One,England
3,02-07,Fleetwood Town vs Bromley,League Two,England
4,02-07,Wrexham vs Millwall,Championship,England
5,02-10,Stevenage vs Barnsley,League One,England
6,02-10,West Ham vs Manchester United,Premier League,England
7,02-10,Shrewsbury vs Barrow,League Two,England
8,02-11,Aston Villa vs Brighton,Premier League,England
9,02-14,Tranmere vs Crawley Town,League Two,England
10,02-14,QPR vs Blackburn,Championship,England
11,02-17,Bradford vs Stockport County,League One,England
12,02-21,Southampton vs Charlton,Championship,England
13,02-21,Hull City vs QPR,Championship,England
14,02-21,Watford vs Derby,Championship,England
15,02-21,Stoke City vs Leicester,Championship,England
16,02-23,Everton vs Manchester United,Premier League,England
17,02-24,Salford City vs Shrewsbury,League Two,England
18,02-24,Wrexham vs Portsmouth,Championship,England
19,02-24,Hull City vs Derby,Championship,England
20,02-27,Bristol City vs Watford,Championship,England
21,02-28,Charlton vs Wrexham,Championship,England
22,03-01,Fulham vs Tottenham,Premier League,England
23,03-01,Manchester United vs Crystal Palace,Premier League,England
24,03-03,Barnsley vs Wycombe,League One,England
25,03-07,Charlton vs Birmingham,Championship,England
26,03-07,Newport County vs Colchester,League Two,England
27,03-14,Doncaster vs Blackpool,League One,England
28,03-14,Reading vs Plymouth,League One,England
29,03-14,Burnley vs Bournemouth,Premier League,England
30,03-14,Swindon Town vs Milton Keynes Dons,League Two,England
,, FRANCE (11 matchs),,
31,02-07,Saint Etienne vs Montpellier,Ligue 2,France
32,02-13,PAU vs Boulogne,Ligue 2,France
33,02-14,Guingamp vs Saint Etienne,Ligue 2,France
34,02-22,Lens vs Monaco,Ligue 1,France
35,02-22,Angers vs Lille,Ligue 1,France
36,02-27,Clermont Foot vs Dunkerque,Ligue 2,France
37,03-08,Toulouse vs Marseille,Ligue 1,France
38,03-08,Lille vs Lorient,Ligue 1,France
39,03-08,Lyon vs Paris FC,Ligue 1,France
40,03-14,Grenoble vs Saint Etienne,Ligue 2,France
41,03-15,Metz vs Toulouse,Ligue 1,France
,, NETHERLANDS (11 matchs),,
42,02-14,Groningen vs Utrecht,Eredivisie,Netherlands
43,02-20,Dordrecht vs Jong Ajax,Eerste Divisie,Netherlands
44,02-21,Ajax vs NEC Nijmegen,Eredivisie,Netherlands
45,02-23,Jong AZ vs Den Bosch,Eerste Divisie,Netherlands
46,02-27,Vitesse vs Jong AZ,Eerste Divisie,Netherlands
47,02-28,Heerenveen vs Sparta Rotterdam,Eredivisie,Netherlands
48,03-01,PEC Zwolle vs Ajax,Eredivisie,Netherlands
49,03-08,Sparta Rotterdam vs PEC Zwolle,Eredivisie,Netherlands
50,03-08,Cambuur vs Jong Utrecht,Eerste Divisie,Netherlands
51,03-08,GO Ahead Eagles vs Twente,Eredivisie,Netherlands
52,03-13,Waalwijk vs Jong AZ,Eerste Divisie,Netherlands
,, GERMANY (10 matchs),,
53,02-21,VfL Wolfsburg vs FC Augsburg,Bundesliga,Germany
54,02-21,RB Leipzig vs Borussia Dortmund,Bundesliga,Germany
55,02-21,SV Elversberg vs Eintracht Braunschweig,2. Bundesliga,Germany
56,02-28,Holstein Kiel vs SV Elversberg,2. Bundesliga,Germany
57,02-28,Arminia Bielefeld vs Hannover 96,2. Bundesliga,Germany
58,03-01,VfB Stuttgart vs VfL Wolfsburg,Bundesliga,Germany
59,03-01,Eintracht Braunschweig vs Preußen Münster,2. Bundesliga,Germany
60,03-06,VfL Bochum vs 1. FC Kaiserslautern,2. Bundesliga,Germany
61,03-14,1899 Hoffenheim vs VfL Wolfsburg,Bundesliga,Germany
62,03-14,SC Freiburg vs Union Berlin,Bundesliga,Germany
,, TURKEY (9 matchs),,
63,02-08,Keçiörengücü vs Bandırmaspor,1. Lig,Turkey
64,02-13,Erokspor vs Manisa BBSK,1. Lig,Turkey
65,02-21,76 Iğdır Belediyespor vs Erokspor,1. Lig,Turkey
66,02-22,Gazişehir Gaziantep vs Trabzonspor,Süper Lig,Turkey
67,03-01,Manisa BBSK vs Yeni Çorumspor,1. Lig,Turkey
68,03-08,BB Bodrumspor vs Erokspor,1. Lig,Turkey
69,03-11,Manisa BBSK vs Sarıyer,1. Lig,Turkey
70,03-15,Genclerbirligi vs Beşiktaş,Süper Lig,Turkey
71,03-15,Bandırmaspor vs 76 Iğdır Belediyespor,1. Lig,Turkey
,, MEXICO (8 matchs),,
72,02-07,Necaxa vs Atletico San Luis,Liga MX,Mexico
73,02-07,Mazatlán vs Guadalajara Chivas,Liga MX,Mexico
74,02-22,U.N.A.M. - Pumas vs Monterrey,Liga MX,Mexico
75,02-23,Club Queretaro vs FC Juarez,Liga MX,Mexico
76,03-01,Monterrey vs Cruz Azul,Liga MX,Mexico
77,03-08,Atlas vs Guadalajara Chivas,Liga MX,Mexico
78,03-09,Club Tijuana vs Santos Laguna,Liga MX,Mexico
79,03-09,Toluca vs FC Juarez,Liga MX,Mexico
,, SCOTLAND (8 matchs),,
80,02-14,Falkirk vs Dundee Utd,Premiership,Scotland
81,02-15,Rangers vs Heart Of Midlothian,Premiership,Scotland
82,02-21,Heart Of Midlothian vs Falkirk,Premiership,Scotland
83,02-21,Dundee Utd vs Kilmarnock,Premiership,Scotland
84,02-22,Livingston vs Rangers,Premiership,Scotland
85,02-28,Partick vs Arbroath,Championship,Scotland
86,03-07,Morton vs ST Johnstone,Championship,Scotland
87,03-14,Kilmarnock vs Heart Of Midlothian,Premiership,Scotland
,, ARGENTINA (7 matchs),,
88,02-13,Independiente vs Lanus,Liga Profesional Argentina,Argentina
89,02-15,Independ. Rivadavia vs Belgrano Cordoba,Liga Profesional Argentina,Argentina
90,02-25,Newells Old Boys vs Estudiantes L.P.,Liga Profesional Argentina,Argentina
91,03-02,Tigre vs Gimnasia L.P.,Liga Profesional Argentina,Argentina
92,03-11,Banfield vs Gimnasia L.P.,Liga Profesional Argentina,Argentina
93,03-14,Rosario Central vs Banfield,Liga Profesional Argentina,Argentina
94,03-15,Belgrano Cordoba vs Talleres Cordoba,Liga Profesional Argentina,Argentina
,, HUNGARY (7 matchs),,
95,02-14,Ujpest vs Debreceni VSC,NB I,Hungary
96,02-21,Zalaegerszegi TE vs Debreceni VSC,NB I,Hungary
97,02-21,Nyiregyhaza vs Kisvarda FC,NB I,Hungary
98,02-21,MTK Budapest vs Ferencvarosi TC,NB I,Hungary
99,02-21,Kazincbarcikai vs Puskas Academy,NB I,Hungary
100,02-28,Diosgyori VTK vs Zalaegerszegi TE,NB I,Hungary
101,03-14,Ujpest vs Kisvarda FC,NB I,Hungary
,, SPAIN (7 matchs),,
102,02-15,Mallorca vs Real Betis,La Liga,Spain
103,02-15,Albacete vs Sporting Gijon,Segunda División,Spain
104,02-15,Almeria vs FC Andorra,Segunda División,Spain
105,02-22,Almeria vs Cordoba,Segunda División,Spain
106,03-08,Real Sociedad II vs Castellón,Segunda División,Spain
107,03-08,Villarreal vs Elche,La Liga,Spain
108,03-15,Real Betis vs Celta Vigo,La Liga,Spain
,, ITALY (6 matchs),,
109,02-10,Padova vs Carrarese,Serie B,Italy
110,02-21,Carrarese vs Monza,Serie B,Italy
111,03-01,Inter vs Genoa,Serie A,Italy
112,03-04,Carrarese vs Catanzaro,Serie B,Italy
113,03-07,Venezia vs Reggiana,Serie B,Italy
114,03-14,Sudtirol vs Pescara,Serie B,Italy
,, SWITZERLAND (6 matchs),,
115,02-14,FC ST. Gallen vs Grasshoppers,Super League,Switzerland
116,02-28,FC Thun vs FC Luzern,Super League,Switzerland
117,03-01,Grasshoppers vs FC Lugano,Super League,Switzerland
118,03-04,FC Luzern vs BSC Young Boys,Super League,Switzerland
119,03-07,FC Lugano vs FC Luzern,Super League,Switzerland
120,03-14,FC Zurich vs FC Sion,Super League,Switzerland
,, CROATIA (5 matchs),,
121,02-07,HNK Rijeka vs Dinamo Zagreb,HNL,Croatia
122,02-14,NK Slaven Belupo vs NK Lokomotiva Zagreb,HNL,Croatia
123,02-21,Vukovar vs NK Slaven Belupo,HNL,Croatia
124,02-28,HNK Rijeka vs NK Lokomotiva Zagreb,HNL,Croatia
125,03-14,NK Varazdin vs Vukovar,HNL,Croatia
,, POLAND (5 matchs),,
126,02-15,Motor Lublin vs Lechia Gdansk,Ekstraklasa,Poland
127,02-20,Widzew Łódź vs Cracovia Krakow,Ekstraklasa,Poland
128,02-23,Lechia Gdansk vs Zaglebie Lubin,Ekstraklasa,Poland
129,02-28,Nieciecza vs Radomiak Radom,Ekstraklasa,Poland
130,02-28,Motor Lublin vs Korona Kielce,Ekstraklasa,Poland
,, PORTUGAL (4 matchs),,
131,02-15,União de Leiria vs FC Porto B,Segunda Liga,Portugal
132,03-01,Academico Viseu vs Maritimo,Segunda Liga,Portugal
133,03-08,Lusitânia Lourosa vs Sporting CP B,Segunda Liga,Portugal
134,03-15,FC Porto vs Moreirense,Primeira Liga,Portugal
,, AUSTRIA (2 matchs),,
135,02-07,Rapid Vienna vs TSV Hartberg,Bundesliga,Austria
136,03-08,Lask Linz vs Wolfsberger AC,Bundesliga,Austria
,, AUSTRALIA (1 matchs),,
137,02-22,Newcastle Jets vs Macarthur,A-League,Australia
,, BELGIUM (1 matchs),,
138,03-13,Gent vs Zulte Waregem,Jupiler Pro League,Belgium
,, CZECH-REPUBLIC (1 matchs),,
139,02-14,Karviná vs Slavia Praha,Czech Liga,Czech-Republic
,, QATAR (1 matchs),,
140,02-28,Al Shamal vs Qatar SC,Stars League,Qatar
,, ROMANIA (1 matchs),,
141,02-09,Dinamo Bucuresti vs Universitatea Craiova,Liga I,Romania
,, SAUDI-ARABIA (1 matchs),,
142,03-05,Al Taawon vs Al-Fateh,Pro League,Saudi-Arabia
,, WORLD (1 matchs),,
143,02-08,Nairobi United vs Wydad AC,CAF Confederation Cup,World
