#,Date,Match,Ligue,Pays
,, NETHERLANDS (32 matchs),,
1,02-01,PSV Eindhoven vs Feyenoord,Eredivisie,Netherlands
2,02-01,FC Volendam vs GO Ahead Eagles,Eredivisie,Netherlands
3,02-01,Excelsior vs Ajax,Eredivisie,Netherlands
4,02-01,Heerenveen vs Utrecht,Eredivisie,Netherlands
5,02-02,Jong PSV U21 vs Cambuur,Eerste Divisie,Netherlands
6,02-02,Jong Utrecht vs VVV Venlo,Eerste Divisie,Netherlands
7,02-02,Jong Ajax vs Willem II,Eerste Divisie,Netherlands
8,02-03,Dordrecht vs Helmond Sport,Eerste Divisie,Netherlands
9,02-06,Emmen vs Jong Utrecht,Eerste Divisie,Netherlands
10,02-06,Roda vs ADO Den Haag,Eerste Divisie,Netherlands
11,02-06,De Graafschap vs Jong Ajax,Eerste Divisie,Netherlands
12,02-06,Helmond Sport vs Den Bosch,Eerste Divisie,Netherlands
13,02-06,FC OSS vs Vitesse,Eerste Divisie,Netherlands
14,02-07,PEC Zwolle vs FC Volendam,Eredivisie,Netherlands
15,02-07,Fortuna Sittard vs Sparta Rotterdam,Eredivisie,Netherlands
16,02-07,Twente vs Heerenveen,Eredivisie,Netherlands
17,02-08,Groningen vs PSV Eindhoven,Eredivisie,Netherlands
18,02-08,Cambuur vs Almere City FC,Eerste Divisie,Netherlands
19,02-08,Utrecht vs Feyenoord,Eredivisie,Netherlands
20,02-08,AZ Alkmaar vs Ajax,Eredivisie,Netherlands
21,02-08,GO Ahead Eagles vs Telstar,Eredivisie,Netherlands
22,02-08,Willem II vs Waalwijk,Eerste Divisie,Netherlands
23,02-09,Jong PSV U21 vs FC OSS,Eerste Divisie,Netherlands
24,02-09,Jong AZ vs Dordrecht,Eerste Divisie,Netherlands
25,02-11,NEC Nijmegen vs Utrecht,Eredivisie,Netherlands
26,02-11,GO Ahead Eagles vs Heerenveen,Eredivisie,Netherlands
27,02-13,Jong PSV U21 vs De Graafschap,Eerste Divisie,Netherlands
